cID,name,inchi,mp,bp,sID,filename,state,state_original,resolution,spectrometer,original_spectrum,collection,origin,owner,source_reference,nist_source,date
B6000060,Zinc oxalate,"InChI=1S/C2H2O4.2H2O.Zn/c3-1(4)2(5)6;;;/h(H,3,4)(H,5,6);2*1H2;/q;;;+2/p-2",,,0,B6000060_IR_0.jdx,solid,SOLID (KBr DISC),4,"Not specified, most likely a prism, grating, or hybrid spectrometer.",cob60,COBLENTZ,,COBLENTZ SOCIETY Collection (C) 2018 copyright by the U.S. Secretary of Commerce on behalf of the United States of America. All rights reserved.,COBLENTZ NO. 60,COBLENTZ,"Not specified, most likely prior to 1970"
B6000061,Ferrous oxalate,"InChI=1S/C2H2O4.Fe.2H2O/c3-1(4)2(5)6;;;/h(H,3,4)(H,5,6);;2*1H2/q;+2;;/p-2",,,0,B6000061_IR_0.jdx,solid,SOLID (KBr DISC),4,"Not specified, most likely a prism, grating, or hybrid spectrometer.",cob61,COBLENTZ,,COBLENTZ SOCIETY Collection (C) 2018 copyright by the U.S. Secretary of Commerce on behalf of the United States of America. All rights reserved.,COBLENTZ NO. 61,COBLENTZ,"Not specified, most likely prior to 1970"
B6000062,Cobaltous oxalate,"InChI=1S/C2H2O4.Co/c3-1(4)2(5)6;/h(H,3,4)(H,5,6);/q;+2/p-2",,,0,B6000062_IR_0.jdx,solid,SOLID (KBr DISC),4,"Not specified, most likely a prism, grating, or hybrid spectrometer.",cob62,COBLENTZ,,COBLENTZ SOCIETY Collection (C) 2018 copyright by the U.S. Secretary of Commerce on behalf of the United States of America. All rights reserved.,COBLENTZ NO. 62,COBLENTZ,"Not specified, most likely prior to 1970"
B6000063,Nickel oxalate,"InChI=1S/C2H2O4.Ni.2H2O/c3-1(4)2(5)6;;;/h(H,3,4)(H,5,6);;2*1H2/q;+2;;/p-2",,,0,B6000063_IR_0.jdx,solid,SOLID (KBr DISC),4,"Not specified, most likely a prism, grating, or hybrid spectrometer.",cob63,COBLENTZ,,COBLENTZ SOCIETY Collection (C) 2018 copyright by the U.S. Secretary of Commerce on behalf of the United States of America. All rights reserved.,COBLENTZ NO. 63,COBLENTZ,"Not specified, most likely prior to 1970"
B6000064,Barium oxalate,"InChI=1S/C2H2O4.Ba.H2O/c3-1(4)2(5)6;;/h(H,3,4)(H,5,6);;1H2/q;+2;/p-2",,,0,B6000064_IR_0.jdx,solid,SOLID (KBr DISC),4,"Not specified, most likely a prism, grating, or hybrid spectrometer.",cob64,COBLENTZ,,COBLENTZ SOCIETY Collection (C) 2018 copyright by the U.S. Secretary of Commerce on behalf of the United States of America. All rights reserved.,COBLENTZ NO. 64,COBLENTZ,"Not specified, most likely prior to 1970"
B6000065,Calcium oxalate,"InChI=1S/C2H2O4.Ca.H2O/c3-1(4)2(5)6;;/h(H,3,4)(H,5,6);;1H2/q;+2;/p-2",,,0,B6000065_IR_0.jdx,solid,SOLID (KBr DISC),4,"Not specified, most likely a prism, grating, or hybrid spectrometer.",cob65,COBLENTZ,,COBLENTZ SOCIETY Collection (C) 2018 copyright by the U.S. Secretary of Commerce on behalf of the United States of America. All rights reserved.,COBLENTZ NO. 65,COBLENTZ,"Not specified, most likely prior to 1970"
B6000066,Strontium oxalate,"InChI=1S/C2H2O4.H2O.Sr/c3-1(4)2(5)6;;/h(H,3,4)(H,5,6);1H2;/q;;+2/p-2",,,0,B6000066_IR_0.jdx,solid,SOLID (KBr DISC),4,"Not specified, most likely a prism, grating, or hybrid spectrometer.",cob66,COBLENTZ,,COBLENTZ SOCIETY Collection (C) 2018 copyright by the U.S. Secretary of Commerce on behalf of the United States of America. All rights reserved.,COBLENTZ NO. 66,COBLENTZ,"Not specified, most likely prior to 1970"
B6000067,Lead oxalate,"InChI=1S/C2H2O4.Pb/c3-1(4)2(5)6;/h(H,3,4)(H,5,6);/q;+2/p-2",,,0,B6000067_IR_0.jdx,solid,SOLID (KBr DISC),4,"Not specified, most likely a prism, grating, or hybrid spectrometer.",cob67,COBLENTZ,,COBLENTZ SOCIETY Collection (C) 2018 copyright by the U.S. Secretary of Commerce on behalf of the United States of America. All rights reserved.,COBLENTZ NO. 67,COBLENTZ,"Not specified, most likely prior to 1970"
B6000068,Mercuric oxalate,"InChI=1S/C2H2O4.Hg/c3-1(4)2(5)6;/h(H,3,4)(H,5,6);/q;+2/p-2",,,0,B6000068_IR_0.jdx,solid,SOLID (KBr DISC),4,"Not specified, most likely a prism, grating, or hybrid spectrometer.",cob68,COBLENTZ,,COBLENTZ SOCIETY Collection (C) 2018 copyright by the U.S. Secretary of Commerce on behalf of the United States of America. All rights reserved.,COBLENTZ NO. 68,COBLENTZ,"Not specified, most likely prior to 1970"
B6000069,Stannous oxalate,"InChI=1S/C2H2O4.Sn/c3-1(4)2(5)6;/h(H,3,4)(H,5,6);/q;+2/p-2",,,0,B6000069_IR_0.jdx,solid,SOLID (KBr DISC),4,"Not specified, most likely a prism, grating, or hybrid spectrometer.",cob69,COBLENTZ,,COBLENTZ SOCIETY Collection (C) 2018 copyright by the U.S. Secretary of Commerce on behalf of the United States of America. All rights reserved.,COBLENTZ NO. 69,COBLENTZ,"Not specified, most likely prior to 1970"
B6000070,Cadmium oxalate,"InChI=1S/C2H2O4.Cd.H2O/c3-1(4)2(5)6;;/h(H,3,4)(H,5,6);;1H2/q;+2;/p-2",,,0,B6000070_IR_0.jdx,solid,SOLID (KBr DISC),4,"Not specified, most likely a prism, grating, or hybrid spectrometer.",cob70,COBLENTZ,,COBLENTZ SOCIETY Collection (C) 2018 copyright by the U.S. Secretary of Commerce on behalf of the United States of America. All rights reserved.,COBLENTZ NO. 70,COBLENTZ,"Not specified, most likely prior to 1970"
B6000072,Molybdenum oxalate,"InChI=1S/C2H2O4.Mo.H2O/c3-1(4)2(5)6;;/h(H,3,4)(H,5,6);;1H2/q;+2;/p-2",,,0,B6000072_IR_0.jdx,solid,SOLID (KBr DISC),4,"Not specified, most likely a prism, grating, or hybrid spectrometer.",cob72,COBLENTZ,,COBLENTZ SOCIETY Collection (C) 2018 copyright by the U.S. Secretary of Commerce on behalf of the United States of America. All rights reserved.,COBLENTZ NO. 72,COBLENTZ,"Not specified, most likely prior to 1970"
B6000073,Beryllium oxalate,"InChI=1S/C2H2O4.Be.H2O/c3-1(4)2(5)6;;/h(H,3,4)(H,5,6);;1H2/q;+2;/p-2",,,0,B6000073_IR_0.jdx,solid,SOLID (KBr DISC),4,"Not specified, most likely a prism, grating, or hybrid spectrometer.",cob73,COBLENTZ,,COBLENTZ SOCIETY Collection (C) 2018 copyright by the U.S. Secretary of Commerce on behalf of the United States of America. All rights reserved.,COBLENTZ NO. 73,COBLENTZ,"Not specified, most likely prior to 1970"
B6000074,Chromium(ous) oxalate,"InChI=1S/C2H2O4.Cr.H2O/c3-1(4)2(5)6;;/h(H,3,4)(H,5,6);;1H2/q;+2;/p-2",,,0,B6000074_IR_0.jdx,solid,SOLID (KBr DISC),4,"Not specified, most likely a prism, grating, or hybrid spectrometer.",cob74,COBLENTZ,,COBLENTZ SOCIETY Collection (C) 2018 copyright by the U.S. Secretary of Commerce on behalf of the United States of America. All rights reserved.,COBLENTZ NO. 74,COBLENTZ,"Not specified, most likely prior to 1970"
B6000075,Vanadyl oxalate,,,,0,B6000075_IR_0.jdx,solid,SOLID (KBr DISC),4,"Not specified, most likely a prism, grating, or hybrid spectrometer.",cob75,COBLENTZ,,COBLENTZ SOCIETY Collection (C) 2018 copyright by the U.S. Secretary of Commerce on behalf of the United States of America. All rights reserved.,COBLENTZ NO. 75,COBLENTZ,"Not specified, most likely prior to 1970"
B6000076,Neodymium oxalate,"InChI=1S/3C2H2O4.2Nd.H2O/c3*3-1(4)2(5)6;;;/h3*(H,3,4)(H,5,6);;;1H2/q;;;2*+3;/p-6",,,0,B6000076_IR_0.jdx,solid,SOLID (KBr DISC),4,"Not specified, most likely a prism, grating, or hybrid spectrometer.",cob76,COBLENTZ,,COBLENTZ SOCIETY Collection (C) 2018 copyright by the U.S. Secretary of Commerce on behalf of the United States of America. All rights reserved.,COBLENTZ NO. 76,COBLENTZ,"Not specified, most likely prior to 1970"
B6000077,Praseodymium oxalate,"InChI=1S/3C2H2O4.H2O.2Pr/c3*3-1(4)2(5)6;;;/h3*(H,3,4)(H,5,6);1H2;;/q;;;;2*+3/p-6",,,0,B6000077_IR_0.jdx,solid,SOLID (KBr DISC),4,"Not specified, most likely a prism, grating, or hybrid spectrometer.",cob77,COBLENTZ,,COBLENTZ SOCIETY Collection (C) 2018 copyright by the U.S. Secretary of Commerce on behalf of the United States of America. All rights reserved.,COBLENTZ NO. 77,COBLENTZ,"Not specified, most likely prior to 1970"
B6000078,Samarium oxalate,"InChI=1S/3C2H2O4.H2O.2Sm/c3*3-1(4)2(5)6;;;/h3*(H,3,4)(H,5,6);1H2;;/q;;;;2*+3/p-6",,,0,B6000078_IR_0.jdx,solid,SOLID (KBr DISC),4,"Not specified, most likely a prism, grating, or hybrid spectrometer.",cob78,COBLENTZ,,COBLENTZ SOCIETY Collection (C) 2018 copyright by the U.S. Secretary of Commerce on behalf of the United States of America. All rights reserved.,COBLENTZ NO. 78,COBLENTZ,"Not specified, most likely prior to 1970"
B6000079,Gadolinium oxalate,"InChI=1S/3C2H2O4.2Gd.H2O/c3*3-1(4)2(5)6;;;/h3*(H,3,4)(H,5,6);;;1H2/q;;;2*+3;/p-6",,,0,B6000079_IR_0.jdx,solid,SOLID (KBr DISC),4,"Not specified, most likely a prism, grating, or hybrid spectrometer.",cob79,COBLENTZ,,COBLENTZ SOCIETY Collection (C) 2018 copyright by the U.S. Secretary of Commerce on behalf of the United States of America. All rights reserved.,COBLENTZ NO. 79,COBLENTZ,"Not specified, most likely prior to 1970"
B6000080,Lanthanum oxalate,"InChI=1S/3C2H2O4.2La.H2O/c3*3-1(4)2(5)6;;;/h3*(H,3,4)(H,5,6);;;1H2/q;;;2*+3;/p-6",,,0,B6000080_IR_0.jdx,solid,SOLID (KBr DISC),4,"Not specified, most likely a prism, grating, or hybrid spectrometer.",cob80,COBLENTZ,,COBLENTZ SOCIETY Collection (C) 2018 copyright by the U.S. Secretary of Commerce on behalf of the United States of America. All rights reserved.,COBLENTZ NO. 80,COBLENTZ,"Not specified, most likely prior to 1970"
B6000081,Yttrium oxalate,"InChI=1S/3C2H2O4.H2O.2Y/c3*3-1(4)2(5)6;;;/h3*(H,3,4)(H,5,6);1H2;;/q;;;;2*+3/p-6",,,0,B6000081_IR_0.jdx,solid,SOLID (KBr DISC),4,"Not specified, most likely a prism, grating, or hybrid spectrometer.",cob81,COBLENTZ,,COBLENTZ SOCIETY Collection (C) 2018 copyright by the U.S. Secretary of Commerce on behalf of the United States of America. All rights reserved.,COBLENTZ NO. 81,COBLENTZ,"Not specified, most likely prior to 1970"
B6000082,Bismuth oxalate,"InChI=1S/3C2H2O4.2Bi/c3*3-1(4)2(5)6;;/h3*(H,3,4)(H,5,6);;/q;;;2*+3/p-6",,,0,B6000082_IR_0.jdx,solid,SOLID (KBr DISC),4,"Not specified, most likely a prism, grating, or hybrid spectrometer.",cob82,COBLENTZ,,COBLENTZ SOCIETY Collection (C) 2018 copyright by the U.S. Secretary of Commerce on behalf of the United States of America. All rights reserved.,COBLENTZ NO. 82,COBLENTZ,"Not specified, most likely prior to 1970"
B6000083,Cerous oxalate,"InChI=1S/3C2H2O4.2Ce.H2O/c3*3-1(4)2(5)6;;;/h3*(H,3,4)(H,5,6);;;1H2/q;;;2*+3;/p-6",,,0,B6000083_IR_0.jdx,solid,SOLID (KBr DISC),4,"Not specified, most likely a prism, grating, or hybrid spectrometer.",cob83,COBLENTZ,,COBLENTZ SOCIETY Collection (C) 2018 copyright by the U.S. Secretary of Commerce on behalf of the United States of America. All rights reserved.,COBLENTZ NO. 83,COBLENTZ,"Not specified, most likely prior to 1970"
B6000084,Ferric oxalate,"InChI=1S/3C2H2O4.2Fe.H2O/c3*3-1(4)2(5)6;;;/h3*(H,3,4)(H,5,6);;;1H2/q;;;2*+3;/p-6",,,0,B6000084_IR_0.jdx,solid,SOLID (KBr DISC),4,"Not specified, most likely a prism, grating, or hybrid spectrometer.",cob84,COBLENTZ,,COBLENTZ SOCIETY Collection (C) 2018 copyright by the U.S. Secretary of Commerce on behalf of the United States of America. All rights reserved.,COBLENTZ NO. 84,COBLENTZ,"Not specified, most likely prior to 1970"
B6000085,Titanium oxalate,"InChI=1S/3C2H2O4.H2O.2Ti/c3*3-1(4)2(5)6;;;/h3*(H,3,4)(H,5,6);1H2;;/q;;;;2*+3/p-6",,,0,B6000085_IR_0.jdx,solid,SOLID (KBr DISC),4,"Not specified, most likely a prism, grating, or hybrid spectrometer.",cob85,COBLENTZ,,COBLENTZ SOCIETY Collection (C) 2018 copyright by the U.S. Secretary of Commerce on behalf of the United States of America. All rights reserved.,COBLENTZ NO. 85,COBLENTZ,"Not specified, most likely prior to 1970"
B6000086,Ammonium oxalate,"InChI=1S/C2H2O4.2H3N.H2O/c3-1(4)2(5)6;;;/h(H,3,4)(H,5,6);2*1H3;1H2",,,0,B6000086_IR_0.jdx,solid,SOLID (KBr DISC),4,"Not specified, most likely a prism, grating, or hybrid spectrometer.",cob86,COBLENTZ,,COBLENTZ SOCIETY Collection (C) 2018 copyright by the U.S. Secretary of Commerce on behalf of the United States of America. All rights reserved.,COBLENTZ NO. 86,COBLENTZ,"Not specified, most likely prior to 1970"
B6000087,Urea oxalate,"InChI=1S/C2H2O4.2CH4N2O/c3-1(4)2(5)6;2*2-1(3)4/h(H,3,4)(H,5,6);2*(H4,2,3,4)",,,0,B6000087_IR_0.jdx,solid,SOLID (KBr DISC),4,"Not specified, most likely a prism, grating, or hybrid spectrometer.",cob87,COBLENTZ,,COBLENTZ SOCIETY Collection (C) 2018 copyright by the U.S. Secretary of Commerce on behalf of the United States of America. All rights reserved.,COBLENTZ NO. 87,COBLENTZ,"Not specified, most likely prior to 1970"
B6000094,D-(+)-maltose,"InChI=1S/C12H22O10.H2O/c13-2-6-4(15)1-5(16)12(21-6)22-10-7(3-14)20-11(19)9(18)8(10)17;/h4-19H,1-3H2;1H2",120 C,,0,B6000094_IR_0.jdx,,,4,"Not specified, most likely a prism, grating, or hybrid spectrometer.",cob94,COBLENTZ,"WYANDOTTE CHEMICALS CORP., WYANDOTTE, MICHIGAN, USA",COBLENTZ SOCIETY Collection (C) 2018 copyright by the U.S. Secretary of Commerce on behalf of the United States of America. All rights reserved.,COBLENTZ NO. 94,COBLENTZ,"Not specified, most likely prior to 1970"
B6000096,L-(-)-rhamnose,"InChI=1S/C6H12O5/c1-2-3(7)4(8)5(9)6(10)11-2/h2-10H,1H3/t2-,3-,4+,5+,6+/m1/s1",,,0,B6000096_IR_0.jdx,,,4,"Not specified, most likely a prism, grating, or hybrid spectrometer.",cob96,COBLENTZ,"WYANDOTTE CHEMICALS CORP., WYANDOTTE, MICHIGAN, USA",COBLENTZ SOCIETY Collection (C) 2018 copyright by the U.S. Secretary of Commerce on behalf of the United States of America. All rights reserved.,COBLENTZ NO. 96,COBLENTZ,"Not specified, most likely prior to 1970"
B6000101,Estradiol dibenzoate,"InChI=1S/C32H32O4.C2H4/c1-32-19-18-26-25-15-13-24(35-30(33)21-8-4-2-5-9-21)20-23(25)12-14-27(26)28(32)16-17-29(32)36-31(34)22-10-6-3-7-11-22;1-2/h2-11,13,15,20,26-29H,12,14,16-19H2,1H3;1-2H2",169-173 C (CORR.),,0,B6000101_IR_0.jdx,solution,SOLUTION (2.2% IN CS2),4,"Not specified, most likely a prism, grating, or hybrid spectrometer.",cob101,COBLENTZ,"DEPARTMENT OF PHARMACOLOGY, THE STATE UNIVERSITY OF IOWA, IOWA",COBLENTZ SOCIETY Collection (C) 2018 copyright by the U.S. Secretary of Commerce on behalf of the United States of America. All rights reserved.,COBLENTZ NO. 101,COBLENTZ,"Not specified, most likely prior to 1970"
B6000102,Estradiol monobenzoate,"InChI=1S/2C25H28O3.C2H4/c1-25-14-13-20-19-10-8-18(28-24(27)16-5-3-2-4-6-16)15-17(19)7-9-21(20)22(25)11-12-23(25)26;1-25-14-13-20-19-10-8-18(26)15-17(19)7-9-21(20)22(25)11-12-23(25)28-24(27)16-5-3-2-4-6-16;1-2/h2*2-6,8,10,15,20-23,26H,7,9,11-14H2,1H3;1-2H2",195-197 C (CORR.),,0,B6000102_IR_0.jdx,solution,SOLUTION (1.9% IN CS2),4,"Not specified, most likely a prism, grating, or hybrid spectrometer.",cob102,COBLENTZ,"DEPARTMENT OF PHARMACOLOGY, THE STATE UNIVERSITY OF IOWA, IOWA",COBLENTZ SOCIETY Collection (C) 2018 copyright by the U.S. Secretary of Commerce on behalf of the United States of America. All rights reserved.,COBLENTZ NO. 102,COBLENTZ,"Not specified, most likely prior to 1970"
B6000103,Estradiol-17b monobenzoate,"InChI=1S/C25H28O3.C2H4/c1-25-14-13-20-19-10-8-18(26)15-17(19)7-9-21(20)22(25)11-12-23(25)28-24(27)16-5-3-2-4-6-16;1-2/h2-6,8,10,15,20-23,26H,7,9,11-14H2,1H3;1-2H2",195-197 C (CORR.),,0,B6000103_IR_0.jdx,solution,SOLUTION (2.2% IN CS2),4,"Not specified, most likely a prism, grating, or hybrid spectrometer.",cob103,COBLENTZ,"DEPARTMENT OF PHARMACOLOGY, THE STATE UNIVERSITY OF IOWA, IOWA",COBLENTZ SOCIETY Collection (C) 2018 copyright by the U.S. Secretary of Commerce on behalf of the United States of America. All rights reserved.,COBLENTZ NO. 103,COBLENTZ,"Not specified, most likely prior to 1970"
B6000118,Heptane nitrile,"InChI=1S/C7H13N/c1-2-3-4-5-6-7-8/h2-6H2,1H3",,182-184 C,0,B6000118_IR_0.jdx,liquid,LIQUID,4,"Not specified, most likely a prism, grating, or hybrid spectrometer.",cob118,COBLENTZ,"WYANDOTTE CHEMICALS CORP., WYANDOTTE, MICHIGAN, USA",COBLENTZ SOCIETY Collection (C) 2018 copyright by the U.S. Secretary of Commerce on behalf of the United States of America. All rights reserved.,COBLENTZ NO. 118,COBLENTZ,"Not specified, most likely prior to 1970"
B6000148,Barium propionate,"InChI=1S/2C3H6O2.Ba/c2*1-2-3(4)5;/h2*2H2,1H3,(H,4,5);/q;;+2/p-2",,,0,B6000148_IR_0.jdx,solid,SOLID (KBr PELLET),4,"Not specified, most likely a prism, grating, or hybrid spectrometer.",cob148,COBLENTZ,,COBLENTZ SOCIETY Collection (C) 2018 copyright by the U.S. Secretary of Commerce on behalf of the United States of America. All rights reserved.,COBLENTZ NO. 148,COBLENTZ,"Not specified, most likely prior to 1970"
B6000149,Barium butyrate,"InChI=1S/2C4H8O2.Ba/c2*1-2-3-4(5)6;/h2*2-3H2,1H3,(H,5,6);/q;;+2/p-2",,,0,B6000149_IR_0.jdx,solid,SOLID (0.12% IN KBr PELLET),4,"Not specified, most likely a prism, grating, or hybrid spectrometer.",cob149,COBLENTZ,,COBLENTZ SOCIETY Collection (C) 2018 copyright by the U.S. Secretary of Commerce on behalf of the United States of America. All rights reserved.,COBLENTZ NO. 149,COBLENTZ,"Not specified, most likely prior to 1970"
B6000150,Barium caproate,"InChI=1S/2C6H12O2.Ba/c2*1-2-3-4-5-6(7)8;/h2*2-5H2,1H3,(H,7,8);/q;;+2/p-2",,,0,B6000150_IR_0.jdx,solid,SOLID (0.14% IN KBr PELLET),4,"Not specified, most likely a prism, grating, or hybrid spectrometer.",cob150,COBLENTZ,,COBLENTZ SOCIETY Collection (C) 2018 copyright by the U.S. Secretary of Commerce on behalf of the United States of America. All rights reserved.,COBLENTZ NO. 150,COBLENTZ,"Not specified, most likely prior to 1970"
B6000174,"Aniline-, boron trichloride","InChI=1S/C6H7N.BCl3/c7-6-4-2-1-3-5-6;2-1(3)4/h1-5H,7H2;",,,0,B6000174_IR_0.jdx,solid,SOLID (0.5% IN KBr PELLET),4,"Not specified, most likely a grating spectrometer.",cob174,COBLENTZ,STANDARD OIL OF OHIO,COBLENTZ SOCIETY Collection (C) 2018 copyright by the U.S. Secretary of Commerce on behalf of the United States of America. All rights reserved.,COBLENTZ NO. 174,COBLENTZ,"Not specified, most likely prior to 1970"
B6000177,N-iso amyl aniline,"InChI=1S/C11H17N/c1-3-10(2)9-12-11-7-5-4-6-8-11/h4-8,10,12H,3,9H2,1-2H3",,,0,B6000177_IR_0.jdx,liquid,LIQUID,4,"Not specified, most likely a grating spectrometer.",cob177,COBLENTZ,STANDARD OIL OF OHIO,COBLENTZ SOCIETY Collection (C) 2018 copyright by the U.S. Secretary of Commerce on behalf of the United States of America. All rights reserved.,COBLENTZ NO. 177,COBLENTZ,"Not specified, most likely prior to 1970"
B6000198,Lead hydrogen phosphite,InChI=1S/HO3P.Pb/c1-4(2)3;/h1H;/q-2;+2,,,0,B6000198_IR_0.jdx,solid,SOLID (NUJOL MULL),4,"Not specified, most likely a prism, grating, or hybrid spectrometer.",cob198,COBLENTZ,,COBLENTZ SOCIETY Collection (C) 2018 copyright by the U.S. Secretary of Commerce on behalf of the United States of America. All rights reserved.,COBLENTZ NO. 198,COBLENTZ,"Not specified, most likely prior to 1970"
