filename,title,jcamp-dx,data type,class,origin,owner,date,names,molform,source reference,$nist id,$nist source,$nist image,spectrometer/data system,state,sampling procedure,resolution,data processing,xunits,yunits,xfactor,yfactor,deltax,firstx,lastx,firsty,maxx,minx,maxy,miny,npoints,xydata,end,x_min,x_max,y_min,y_max,path length,mp,bp,instrument parameters,xlabel,ylabel,cas name,cas registry no,$nist doc file,instrument resolution,ir source,aperture,beamsplitter,detector,scanner speed,phase correction,interferogram zerofill,spectral interval after zerofilling,spectral range,apodization,folding limits,number of interferograms averaged per single channel spectrum,$spectra version,$uncertainty in y,sample description,pressure,temperature,$nist psd file,external diffuse reflectance accessory,detector (dia. det. port in sphere),sphere diameter,acquisition mode,coadded scans,phase resolution,zerofilling,spectral resolution,wavenumber accuracy,apodization function,low pass filter,switch gain on
B6000060_IR_0.jdx,ZINC OXALATE,4.24,INFRARED SPECTRUM,COBLENTZ,,COBLENTZ SOCIETY Collection (C) 2018 copyright by the U.S. Secretary of Commerce on behalf of the United States of America. All rights reserved.,"Not specified, most likely prior to 1970",,Zn C2 O4  * 2 H2 O,COBLENTZ NO. 60,B6000060,COBLENTZ,cob60,"Not specified, most likely a prism, grating, or hybrid spectrometer.",SOLID (KBr DISC),TRANSMISSION,4,DIGITIZED BY NIST FROM HARD COPY,MICROMETERS,TRANSMITTANCE,1.0,1,0.007563,1.996,14.8984,0.903,14.8984,1.996,0.952,0.038,1707,(X++(Y..Y)),,1.996,14.8984,0.038,0.952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B6000061_IR_0.jdx,FERROUS OXALATE,4.24,INFRARED SPECTRUM,COBLENTZ,,COBLENTZ SOCIETY Collection (C) 2018 copyright by the U.S. Secretary of Commerce on behalf of the United States of America. All rights reserved.,"Not specified, most likely prior to 1970",,Fe C2 O4  * 2 H2 O,COBLENTZ NO. 61,B6000061,COBLENTZ,cob61,"Not specified, most likely a prism, grating, or hybrid spectrometer.",SOLID (KBr DISC),TRANSMISSION,4,DIGITIZED BY NIST FROM HARD COPY,MICROMETERS,TRANSMITTANCE,1.0,1,0.007582,2.051,15.5175,0.917,15.5175,2.051,0.976,0.063,1777,(X++(Y..Y)),,2.051,15.5175,0.063,0.976,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B6000062_IR_0.jdx,COBALTOUS OXALATE,4.24,INFRARED SPECTRUM,COBLENTZ,,COBLENTZ SOCIETY Collection (C) 2018 copyright by the U.S. Secretary of Commerce on behalf of the United States of America. All rights reserved.,"Not specified, most likely prior to 1970",,Co C2 O4,COBLENTZ NO. 62,B6000062,COBLENTZ,cob62,"Not specified, most likely a prism, grating, or hybrid spectrometer.",SOLID (KBr DISC),TRANSMISSION,4,DIGITIZED BY NIST FROM HARD COPY,MICROMETERS,TRANSMITTANCE,1.0,1,0.007614,2.02,15.0097,0.607,15.0097,2.02,0.985,0.055,1707,(X++(Y..Y)),,2.02,15.0097,0.055,0.985,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B6000063_IR_0.jdx,NICKEL OXALATE,4.24,INFRARED SPECTRUM,COBLENTZ,,COBLENTZ SOCIETY Collection (C) 2018 copyright by the U.S. Secretary of Commerce on behalf of the United States of America. All rights reserved.,"Not specified, most likely prior to 1970",,Ni C2 O4  * 2 H2 O,COBLENTZ NO. 63,B6000063,COBLENTZ,cob63,"Not specified, most likely a prism, grating, or hybrid spectrometer.",SOLID (KBr DISC),TRANSMISSION,4,DIGITIZED BY NIST FROM HARD COPY,MICROMETERS,TRANSMITTANCE,1.0,1,0.00764,2.044,15.414,0.947,15.414,2.044,0.959,0.035,1751,(X++(Y..Y)),,2.044,15.414,0.035,0.959,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B6000064_IR_0.jdx,BARIUM OXALATE,4.24,INFRARED SPECTRUM,COBLENTZ,,COBLENTZ SOCIETY Collection (C) 2018 copyright by the U.S. Secretary of Commerce on behalf of the United States of America. All rights reserved.,"Not specified, most likely prior to 1970",,Ba C2 O4  * H2 O,COBLENTZ NO. 64,B6000064,COBLENTZ,cob64,"Not specified, most likely a prism, grating, or hybrid spectrometer.",SOLID (KBr DISC),TRANSMISSION,4,DIGITIZED BY NIST FROM HARD COPY,MICROMETERS,TRANSMITTANCE,1.0,1,0.00766,2.07,16.01,0.88,16.01,2.07,0.976,0.072,1821,(X++(Y..Y)),,2.07,16.01,0.072,0.976,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B6000065_IR_0.jdx,CALCIUM OXALATE,4.24,INFRARED SPECTRUM,COBLENTZ,,COBLENTZ SOCIETY Collection (C) 2018 copyright by the U.S. Secretary of Commerce on behalf of the United States of America. All rights reserved.,"Not specified, most likely prior to 1970",,Ca C2 O4  * H2 O,COBLENTZ NO. 65,B6000065,COBLENTZ,cob65,"Not specified, most likely a prism, grating, or hybrid spectrometer.",SOLID (KBr DISC),TRANSMISSION,4,DIGITIZED BY NIST FROM HARD COPY,MICROMETERS,TRANSMITTANCE,1.0,1,0.007621,2.057,15.7514,0.967,15.7514,2.057,0.977,0.047,1798,(X++(Y..Y)),,2.057,15.7514,0.047,0.977,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B6000066_IR_0.jdx,STRONTIUM OXALATE,4.24,INFRARED SPECTRUM,COBLENTZ,,COBLENTZ SOCIETY Collection (C) 2018 copyright by the U.S. Secretary of Commerce on behalf of the United States of America. All rights reserved.,"Not specified, most likely prior to 1970",,Sr C2 O4  * H2 O,COBLENTZ NO. 66,B6000066,COBLENTZ,cob66,"Not specified, most likely a prism, grating, or hybrid spectrometer.",SOLID (KBr DISC),TRANSMISSION,4,DIGITIZED BY NIST FROM HARD COPY,MICROMETERS,TRANSMITTANCE,1.0,1,0.007601,2.024,15.0524,0.776,15.0524,2.024,0.915,0.063,1715,(X++(Y..Y)),,2.024,15.0524,0.063,0.915,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B6000067_IR_0.jdx,LEAD OXALATE,4.24,INFRARED SPECTRUM,COBLENTZ,,COBLENTZ SOCIETY Collection (C) 2018 copyright by the U.S. Secretary of Commerce on behalf of the United States of America. All rights reserved.,"Not specified, most likely prior to 1970",,Pb C2 O4,COBLENTZ NO. 67,B6000067,COBLENTZ,cob67,"Not specified, most likely a prism, grating, or hybrid spectrometer.",SOLID (KBr DISC),TRANSMISSION,4,DIGITIZED BY NIST FROM HARD COPY,MICROMETERS,TRANSMITTANCE,1.0,1,0.007627,1.994,15.3725,0.24,15.3725,1.994,0.927,0.129,1755,(X++(Y..Y)),,1.994,15.3725,0.129,0.927,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B6000068_IR_0.jdx,MERCURIC OXALATE,4.24,INFRARED SPECTRUM,COBLENTZ,,COBLENTZ SOCIETY Collection (C) 2018 copyright by the U.S. Secretary of Commerce on behalf of the United States of America. All rights reserved.,"Not specified, most likely prior to 1970",,Hg C2 O4,COBLENTZ NO. 68,B6000068,COBLENTZ,cob68,"Not specified, most likely a prism, grating, or hybrid spectrometer.",SOLID (KBr DISC),TRANSMISSION,4,DIGITIZED BY NIST FROM HARD COPY,MICROMETERS,TRANSMITTANCE,1.0,1,0.007653,1.964,15.3116,0.545,15.3116,1.964,0.964,0.051,1745,(X++(Y..Y)),,1.964,15.3116,0.051,0.964,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B6000069_IR_0.jdx,STANNOUS OXALATE,4.24,INFRARED SPECTRUM,COBLENTZ,,COBLENTZ SOCIETY Collection (C) 2018 copyright by the U.S. Secretary of Commerce on behalf of the United States of America. All rights reserved.,"Not specified, most likely prior to 1970",,Sn C2 O4,COBLENTZ NO. 69,B6000069,COBLENTZ,cob69,"Not specified, most likely a prism, grating, or hybrid spectrometer.",SOLID (KBr DISC),TRANSMISSION,4,DIGITIZED BY NIST FROM HARD COPY,MICROMETERS,TRANSMITTANCE,1.0,1,0.007634,1.985,15.496,0.65,15.496,1.985,0.941,0.047,1771,(X++(Y..Y)),,1.985,15.496,0.047,0.941,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B6000070_IR_0.jdx,CADMIUM OXALATE,4.24,INFRARED SPECTRUM,COBLENTZ,,COBLENTZ SOCIETY Collection (C) 2018 copyright by the U.S. Secretary of Commerce on behalf of the United States of America. All rights reserved.,"Not specified, most likely prior to 1970",,Cd C2 O4  * 3 H2 O,COBLENTZ NO. 70,B6000070,COBLENTZ,cob70,"Not specified, most likely a prism, grating, or hybrid spectrometer.",SOLID (KBr DISC),TRANSMISSION,4,DIGITIZED BY NIST FROM HARD COPY,MICROMETERS,TRANSMITTANCE,1.0,1,0.00764,1.998,14.9559,0.939,14.9559,1.998,0.994,0.094,1697,(X++(Y..Y)),,1.998,14.9559,0.094,0.994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B6000072_IR_0.jdx,MOLYBDENUM OXALATE,4.24,INFRARED SPECTRUM,COBLENTZ,,COBLENTZ SOCIETY Collection (C) 2018 copyright by the U.S. Secretary of Commerce on behalf of the United States of America. All rights reserved.,"Not specified, most likely prior to 1970",,Mo C2 O4  * 3 H2 O,COBLENTZ NO. 72,B6000072,COBLENTZ,cob72,"Not specified, most likely a prism, grating, or hybrid spectrometer.",SOLID (KBr DISC),TRANSMISSION,4,DIGITIZED BY NIST FROM HARD COPY,MICROMETERS,TRANSMITTANCE,1.0,1,0.007634,2.069,15.0225,0.88,15.0225,2.069,0.926,0.339,1698,(X++(Y..Y)),,2.069,15.0225,0.339,0.926,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B6000073_IR_0.jdx,BERYLLIUM OXALATE,4.24,INFRARED SPECTRUM,COBLENTZ,,COBLENTZ SOCIETY Collection (C) 2018 copyright by the U.S. Secretary of Commerce on behalf of the United States of America. All rights reserved.,"Not specified, most likely prior to 1970",,Be C2 O4  * 3 H2 O,COBLENTZ NO. 73,B6000073,COBLENTZ,cob73,"Not specified, most likely a prism, grating, or hybrid spectrometer.",SOLID (KBr DISC),TRANSMISSION,4,DIGITIZED BY NIST FROM HARD COPY,MICROMETERS,TRANSMITTANCE,1.0,1,0.007601,2.031,15.0072,0.806,15.0072,2.031,0.82,0.259,1708,(X++(Y..Y)),,2.031,15.0072,0.259,0.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B6000074_IR_0.jdx,CHROMIUM(OUS) OXALATE,4.24,INFRARED SPECTRUM,COBLENTZ,,COBLENTZ SOCIETY Collection (C) 2018 copyright by the U.S. Secretary of Commerce on behalf of the United States of America. All rights reserved.,"Not specified, most likely prior to 1970",,Cr C2 O4  * H2 O,COBLENTZ NO. 74,B6000074,COBLENTZ,cob74,"Not specified, most likely a prism, grating, or hybrid spectrometer.",SOLID (KBr DISC),TRANSMISSION,4,DIGITIZED BY NIST FROM HARD COPY,MICROMETERS,TRANSMITTANCE,1.0,1,0.007589,1.974,14.95,0.78,14.95,1.974,0.928,0.106,1711,(X++(Y..Y)),,1.974,14.95,0.106,0.928,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B6000075_IR_0.jdx,VANADYL OXALATE,4.24,INFRARED SPECTRUM,COBLENTZ,,COBLENTZ SOCIETY Collection (C) 2018 copyright by the U.S. Secretary of Commerce on behalf of the United States of America. All rights reserved.,"Not specified, most likely prior to 1970",,V O C2 O4  * 3 H2 O,COBLENTZ NO. 75,B6000075,COBLENTZ,cob75,"Not specified, most likely a prism, grating, or hybrid spectrometer.",SOLID (KBr DISC),TRANSMISSION,4,DIGITIZED BY NIST FROM HARD COPY,MICROMETERS,TRANSMITTANCE,1.0,1,0.007582,1.976,15.0017,0.712,15.0017,1.976,0.919,0.048,1719,(X++(Y..Y)),,1.976,15.0017,0.048,0.919,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B6000076_IR_0.jdx,NEODYMIUM OXALATE,4.24,INFRARED SPECTRUM,COBLENTZ,,COBLENTZ SOCIETY Collection (C) 2018 copyright by the U.S. Secretary of Commerce on behalf of the United States of America. All rights reserved.,"Not specified, most likely prior to 1970",,Nd2 ( C2 O4)3  * 10 H2 O,COBLENTZ NO. 76,B6000076,COBLENTZ,cob76,"Not specified, most likely a prism, grating, or hybrid spectrometer.",SOLID (KBr DISC),TRANSMISSION,4,DIGITIZED BY NIST FROM HARD COPY,MICROMETERS,TRANSMITTANCE,1.0,1,0.007614,2.036,14.9573,0.909,14.9573,2.036,0.912,0.14,1698,(X++(Y..Y)),,2.036,14.9573,0.14,0.912,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B6000077_IR_0.jdx,PRASEODYMIUM OXALATE,4.24,INFRARED SPECTRUM,COBLENTZ,,COBLENTZ SOCIETY Collection (C) 2018 copyright by the U.S. Secretary of Commerce on behalf of the United States of America. All rights reserved.,"Not specified, most likely prior to 1970",,Pr2 ( C2 O4)3  * 10 H2 O,COBLENTZ NO. 77,B6000077,COBLENTZ,cob77,"Not specified, most likely a prism, grating, or hybrid spectrometer.",SOLID (KBr DISC),TRANSMISSION,4,DIGITIZED BY NIST FROM HARD COPY,MICROMETERS,TRANSMITTANCE,1.0,1,0.007666,1.976,14.978,0.943,14.978,1.976,0.977,0.206,1697,(X++(Y..Y)),,1.976,14.978,0.206,0.977,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B6000078_IR_0.jdx,SAMARIUM OXALATE,4.24,INFRARED SPECTRUM,COBLENTZ,,COBLENTZ SOCIETY Collection (C) 2018 copyright by the U.S. Secretary of Commerce on behalf of the United States of America. All rights reserved.,"Not specified, most likely prior to 1970",,Sm2 ( C2 O4)3  * 10 H2 O,COBLENTZ NO. 78,B6000078,COBLENTZ,cob78,"Not specified, most likely a prism, grating, or hybrid spectrometer.",SOLID (KBr DISC),TRANSMISSION,4,DIGITIZED BY NIST FROM HARD COPY,MICROMETERS,TRANSMITTANCE,1.0,1,0.007614,2.028,14.9341,0.921,14.9341,2.028,0.971,0.203,1696,(X++(Y..Y)),,2.028,14.9341,0.203,0.971,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B6000079_IR_0.jdx,GADOLINIUM OXALATE,4.24,INFRARED SPECTRUM,COBLENTZ,,COBLENTZ SOCIETY Collection (C) 2018 copyright by the U.S. Secretary of Commerce on behalf of the United States of America. All rights reserved.,"Not specified, most likely prior to 1970",,Gd2 ( C2 O4)3  * 10 H2 O,COBLENTZ NO. 79,B6000079,COBLENTZ,cob79,"Not specified, most likely a prism, grating, or hybrid spectrometer.",SOLID (KBr DISC),TRANSMISSION,4,DIGITIZED BY NIST FROM HARD COPY,MICROMETERS,TRANSMITTANCE,1.0,1,0.007601,2.039,15.113,0.905,15.113,2.039,0.977,0.117,1721,(X++(Y..Y)),,2.039,15.113,0.117,0.977,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B6000080_IR_0.jdx,LANTHANUM OXALATE,4.24,INFRARED SPECTRUM,COBLENTZ,,COBLENTZ SOCIETY Collection (C) 2018 copyright by the U.S. Secretary of Commerce on behalf of the United States of America. All rights reserved.,"Not specified, most likely prior to 1970",,La2 ( C2 O4)3  * 9 H2 O,COBLENTZ NO. 80,B6000080,COBLENTZ,cob80,"Not specified, most likely a prism, grating, or hybrid spectrometer.",SOLID (KBr DISC),TRANSMISSION,4,DIGITIZED BY NIST FROM HARD COPY,MICROMETERS,TRANSMITTANCE,1.0,1,0.007582,2.006,14.9491,0.961,14.9491,2.006,0.97,0.166,1708,(X++(Y..Y)),,2.006,14.9491,0.166,0.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B6000081_IR_0.jdx,YTTRIUM OXALATE,4.24,INFRARED SPECTRUM,COBLENTZ,,COBLENTZ SOCIETY Collection (C) 2018 copyright by the U.S. Secretary of Commerce on behalf of the United States of America. All rights reserved.,"Not specified, most likely prior to 1970",,Y2 ( C2 O4)3  * 9 H2 O,COBLENTZ NO. 81,B6000081,COBLENTZ,cob81,"Not specified, most likely a prism, grating, or hybrid spectrometer.",SOLID (KBr DISC),TRANSMISSION,4,DIGITIZED BY NIST FROM HARD COPY,MICROMETERS,TRANSMITTANCE,1.0,1,0.007582,2.006,14.9491,0.947,14.9491,2.006,0.988,0.169,1708,(X++(Y..Y)),,2.006,14.9491,0.169,0.988,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B6000082_IR_0.jdx,BISMUTH OXALATE,4.24,INFRARED SPECTRUM,COBLENTZ,,COBLENTZ SOCIETY Collection (C) 2018 copyright by the U.S. Secretary of Commerce on behalf of the United States of America. All rights reserved.,"Not specified, most likely prior to 1970",,Bi2 ( C2 O4)3,COBLENTZ NO. 82,B6000082,COBLENTZ,cob82,"Not specified, most likely a prism, grating, or hybrid spectrometer.",SOLID (KBr DISC),TRANSMISSION,4,DIGITIZED BY NIST FROM HARD COPY,MICROMETERS,TRANSMITTANCE,1.0,1,0.007563,2.041,15.0345,0.456,15.0345,2.041,0.824,0.251,1719,(X++(Y..Y)),,2.041,15.0345,0.251,0.824,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B6000083_IR_0.jdx,CEROUS OXALATE,4.24,INFRARED SPECTRUM,COBLENTZ,,COBLENTZ SOCIETY Collection (C) 2018 copyright by the U.S. Secretary of Commerce on behalf of the United States of America. All rights reserved.,"Not specified, most likely prior to 1970",,Ce2 ( C2 O4)3  * 9 H2 O,COBLENTZ NO. 83,B6000083,COBLENTZ,cob83,"Not specified, most likely a prism, grating, or hybrid spectrometer.",SOLID (KBr DISC),TRANSMISSION,4,DIGITIZED BY NIST FROM HARD COPY,MICROMETERS,TRANSMITTANCE,1.0,1,0.007601,2.016,15.0368,0.866,15.0368,2.016,0.951,0.177,1714,(X++(Y..Y)),,2.016,15.0368,0.177,0.951,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
